Accession			Taxon name			ITS1 localization			Sequence description
KF225019			Aspergillus flavus			ENA			Aspergillus flavus strain UBOCC-A-101060 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225019			Aspergillus flavus			HMM			Aspergillus flavus strain UBOCC-A-101060 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225020			Aspergillus flavus			ENA			Aspergillus flavus strain UBOCC-A-101063 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225040			Aspergillus flavus			ENA			Aspergillus flavus strain UBOCC-A-106026 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225040			Aspergillus flavus			HMM			Aspergillus flavus strain UBOCC-A-106026 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225041			Aspergillus flavus			ENA			Aspergillus flavus strain UBOCC-A-106028 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF225041			Aspergillus flavus			HMM			Aspergillus flavus strain UBOCC-A-106028 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309038			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309039			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309040			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309041			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309042			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS9 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309043			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS10 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309044			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS11 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309045			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS17 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309046			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309047			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309048			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS24 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309049			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS25 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309050			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS26 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309051			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS29 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309052			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS30 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309053			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS31 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309054			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS32 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309055			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309056			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS39 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309057			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309058			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS41 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309059			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS42 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309060			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS47 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309061			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS48 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309062			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS49 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309063			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS50 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF309064			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMS51 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434086			Aspergillus flavus			ENA			Aspergillus flavus strain USMJ03 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434086			Aspergillus flavus			HMM			Aspergillus flavus strain USMJ03 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434087			Aspergillus flavus			ENA			Aspergillus flavus strain USMK12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434087			Aspergillus flavus			HMM			Aspergillus flavus strain USMK12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434088			Aspergillus flavus			ENA			Aspergillus flavus strain USMK13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434088			Aspergillus flavus			HMM			Aspergillus flavus strain USMK13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434089			Aspergillus flavus			ENA			Aspergillus flavus strain USMC19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434089			Aspergillus flavus			HMM			Aspergillus flavus strain USMC19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434090			Aspergillus flavus			ENA			Aspergillus flavus strain USMG09 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434090			Aspergillus flavus			HMM			Aspergillus flavus strain USMG09 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434091			Aspergillus flavus			ENA			Aspergillus flavus strain USMG16 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF434091			Aspergillus flavus			HMM			Aspergillus flavus strain USMG16 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF475897			Aspergillus flavus			HMM			Aspergillus flavus strain IHB F 1218 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF498551			Aspergillus flavus			HMM			Aspergillus flavus strain 21.18 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF498561			Aspergillus flavus			HMM			Aspergillus flavus strain 26.3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF498563			Aspergillus flavus			HMM			Aspergillus flavus strain 2.19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF562195			Aspergillus flavus			HMM			Aspergillus flavus strain PW2952 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF562203			Aspergillus flavus			HMM			Aspergillus flavus strain PW2960 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF577897			Aspergillus flavus			HMM			Aspergillus flavus strain A0628 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF624765			Aspergillus flavus			HMM			Aspergillus flavus voucher RIFA 29-R1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF651176			Aspergillus flavus			ENA			Aspergillus flavus strain CD1124 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF651176			Aspergillus flavus			HMM			Aspergillus flavus strain CD1124 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669446			Aspergillus flavus			ENA			Aspergillus flavus strain USMC16 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669446			Aspergillus flavus			HMM			Aspergillus flavus strain USMC16 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669447			Aspergillus flavus			ENA			Aspergillus flavus strain USMS06 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669447			Aspergillus flavus			HMM			Aspergillus flavus strain USMS06 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669448			Aspergillus flavus			ENA			Aspergillus flavus strain USMO12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669448			Aspergillus flavus			HMM			Aspergillus flavus strain USMO12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669449			Aspergillus flavus			ENA			Aspergillus flavus strain USMN03 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669449			Aspergillus flavus			HMM			Aspergillus flavus strain USMN03 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669450			Aspergillus flavus			ENA			Aspergillus flavus strain USMN15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669450			Aspergillus flavus			HMM			Aspergillus flavus strain USMN15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669451			Aspergillus flavus			ENA			Aspergillus flavus strain USMM02 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF669451			Aspergillus flavus			HMM			Aspergillus flavus strain USMM02 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF682370			Aspergillus flavus			ENA			Aspergillus flavus strain MXH-x104 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF691795			Aspergillus flavus			HMM			Aspergillus flavus isolate EFB2.3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KF723010			Aspergillus flavus			ENA			Aspergillus flavus strain KVCET2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF974332			Aspergillus flavus			HMM			Aspergillus flavus strain CASVK4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175411			Aspergillus flavus			ENA			Aspergillus flavus isolate CBS 282.95 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175411			Aspergillus flavus			HMM			Aspergillus flavus isolate CBS 282.95 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175412			Aspergillus flavus			ENA			Aspergillus flavus isolate CBS 616.94 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175413			Aspergillus flavus			ENA			Aspergillus flavus isolate CBS 816.96 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175413			Aspergillus flavus			HMM			Aspergillus flavus isolate CBS 816.96 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175414			Aspergillus flavus			ENA			Aspergillus flavus isolate CBS 100927 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175414			Aspergillus flavus			HMM			Aspergillus flavus isolate CBS 100927 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175415			Aspergillus flavus			ENA			Aspergillus flavus isolate FAA 14.4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175416			Aspergillus flavus			ENA			Aspergillus flavus isolate FAA 15.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175416			Aspergillus flavus			HMM			Aspergillus flavus isolate FAA 15.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175417			Aspergillus flavus			ENA			Aspergillus flavus isolate LP 7004 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175418			Aspergillus flavus			ENA			Aspergillus flavus isolate LP 97029 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175419			Aspergillus flavus			ENA			Aspergillus flavus isolate M 8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175419			Aspergillus flavus			HMM			Aspergillus flavus isolate M 8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175420			Aspergillus flavus			ENA			Aspergillus flavus isolate M 50 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175420			Aspergillus flavus			HMM			Aspergillus flavus isolate M 50 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175421			Aspergillus flavus			ENA			Aspergillus flavus isolate M 94 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175422			Aspergillus flavus			ENA			Aspergillus flavus isolate M 155 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175423			Aspergillus flavus			ENA			Aspergillus flavus isolate Z 9 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175424			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1006.880 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175425			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1006.1136 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175426			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1009.190 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175426			Aspergillus flavus			HMM			Aspergillus flavus isolate Z1009.190 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175427			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1011.1113 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175427			Aspergillus flavus			HMM			Aspergillus flavus isolate Z1011.1113 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175428			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1106.251 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175428			Aspergillus flavus			HMM			Aspergillus flavus isolate Z1106.251 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175429			Aspergillus flavus			ENA			Aspergillus flavus isolate Z1209.496 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175473			Aspergillus flavus			ENA			Aspergillus flavus isolate CBS 100558 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ175474			Aspergillus flavus			ENA			Aspergillus flavus isolate M1204.653 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KJ433658			Aspergillus flavus			HMM			Aspergillus flavus strain IARI-IF4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ470626			Aspergillus flavus			ENA			Aspergillus flavus internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ482647			Aspergillus flavus			HMM			Aspergillus flavus strain AG14 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ482648			Aspergillus flavus			HMM			Aspergillus flavus strain AG20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ634093			Aspergillus flavus			ENA			Aspergillus flavus isolate CMEA 20 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ775475			Aspergillus flavus			ENA			Aspergillus flavus strain DTO_132A4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ775476			Aspergillus flavus			ENA			Aspergillus flavus strain DTO_245A7 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ783262			Aspergillus flavus			HMM			Aspergillus flavus strain CICC 2219 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KJ855143			Aspergillus flavus			HMM			Aspergillus flavus strain NG85 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KM115164			Aspergillus flavus			ENA			Aspergillus flavus strain NBMold2013A01 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KM214202			Aspergillus flavus			HMM			Aspergillus flavus strain CFR3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KM284800			Aspergillus flavus			HMM			Aspergillus flavus strain ALC001 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KM925010			Aspergillus flavus			HMM			Aspergillus flavus strain PJ-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
